13.01.2020,154.80,outcome,Sberbank,food
13.01.2020,29.90,outcome,Sberbank,food
13.01.2020,6.49,outcome,Sberbank,household
13.01.2020,119.60,outcome,Sberbank,smoking
13.01.2020,64.40,outcome,Sberbank,girlfriend
13.01.2020,249.50,outcome,Qiwi Bank,food
13.01.2020,249.50,outcome,Qiwi Bank,food
13.01.2020,505.00,outcome,Qiwi Bank,debt payment
13.01.2020,39.00,outcome,Sberbank,food
13.01.2020,666.00,income,Qiwi Bank,loan
13.01.2020,500.00,income,Qiwi Bank,loan
12.01.2020,211.25,outcome,Qiwi Bank,smoking
12.01.2020,113.75,outcome,Qiwi Bank,girlfriend
12.01.2020,62.00,outcome,Sberbank,food
12.01.2020,38.00,income,Qiwi Bank,main job
12.01.2020,362.00,income,Qiwi Bank,loan
10.01.2020,206.54,outcome,Sberbank,smoking
09.01.2020,12.05,outcome,Sberbank,commission
09.01.2020,1074.00,outcome,Sberbank,debt payment
09.01.2020,135.00,outcome,Sberbank,household
08.01.2020,1075.00,outcome,Qiwi Bank,transport
08.01.2020,82.80,outcome,Sberbank,food
08.01.2020,84.80,outcome,Sberbank,food
07.01.2020,100.00,outcome,Qiwi Bank,mobile connection
07.01.2020,2284.32,outcome,Sberbank,debt payment
07.01.2020,141.80,outcome,Sberbank,food
07.01.2020,150.00,outcome,Sberbank,transport
07.01.2020,4.00,outcome,Qiwi Bank,commission
07.01.2020,95.60,outcome,Sberbank,girlfriend
07.01.2020,382.40,outcome,Qiwi Bank,smoking
07.01.2020,43.08,outcome,Sberbank,girlfriend
07.01.2020,9.90,outcome,Sberbank,food
07.01.2020,1565.00,income,Qiwi Bank,side job
07.01.2020,41.00,income,Sberbank,side job
06.01.2020,146.00,outcome,Sberbank,girlfriend
06.01.2020,155.20,outcome,Sberbank,girlfriend
06.01.2020,56.35,outcome,Qiwi Bank,food
06.01.2020,162.75,outcome,Sberbank,food
06.01.2020,4.00,outcome,Sberbank,commission
06.01.2020,3400.00,income,Sberbank,main job
05.01.2020,62.00,outcome,Qiwi Bank,mobile connection
05.01.2020,180.00,outcome,Qiwi Bank,smoking
04.01.2020,60.00,outcome,Qiwi Bank,girlfriend
04.01.2020,199.99,outcome,Qiwi Bank,present
04.01.2020,312.20,outcome,Qiwi Bank,smoking
04.01.2020,134.10,outcome,Qiwi Bank,girlfriend
04.01.2020,83.40,outcome,Qiwi Bank,food
04.01.2020,35.00,outcome,Qiwi Bank,mobile connection
03.01.2020,135.00,outcome,Qiwi Bank,present
03.01.2020,39.96,outcome,Qiwi Bank,food
03.01.2020,59.94,outcome,Qiwi Bank,girlfriend
03.01.2020,1010.00,outcome,Qiwi Bank,debt payment
03.01.2020,155.70,outcome,Sberbank,food
02.01.2020,318.67,outcome,Sberbank,smoking
02.01.2020,159.33,outcome,Sberbank,girlfriend
02.01.2020,1100.00,outcome,Qiwi Bank,debt payment
02.01.2020,1074.00,outcome,Qiwi Bank,debt payment
02.01.2020,4545.00,income,Qiwi Bank,side job
02.01.2020,250.00,income,Sberbank,side job
01.01.2020,35.00,outcome,Sberbank,mobile connection
01.01.2020,2000.00,income,Sberbank,main job
